cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
337.9,189,0,0,0,0,0,174.9,9.5,944.7,755.8,0,91,67.8,0,526.9,0.331941544
222.4,0,96.7,0,0,0,0,189.3,4.5,967.1,870.3,0,3,11.58,0,319.1,0.59323096
222.4,0,96.7,0,0,0,0,189.3,4.5,967.1,870.3,0,14,24.45,0,319.1,0.59323096
222.4,0,96.7,0,0,0,0,189.3,4.5,967.1,870.3,0,28,24.89,0,319.1,0.59323096
222.4,0,96.7,0,0,0,0,189.3,4.5,967.1,870.3,0,56,29.45,0,319.1,0.59323096
222.4,0,96.7,0,0,0,0,189.3,4.5,967.1,870.3,0,100,40.71,0,319.1,0.59323096
233.8,0,94.6,0,0,0,0,197.9,4.6,947,852.2,0,3,10.38,0,328.4,0.602618756
233.8,0,94.6,0,0,0,0,197.9,4.6,947,852.2,0,14,22.14,0,328.4,0.602618756
233.8,0,94.6,0,0,0,0,197.9,4.6,947,852.2,0,28,22.84,0,328.4,0.602618756
233.8,0,94.6,0,0,0,0,197.9,4.6,947,852.2,0,56,27.66,0,328.4,0.602618756
233.8,0,94.6,0,0,0,0,197.9,4.6,947,852.2,0,100,34.56,0,328.4,0.602618756
194.7,0,100.5,0,0,0,0,165.6,7.5,1006.4,905.9,0,3,12.45,0,295.2,0.560975608
194.7,0,100.5,0,0,0,0,165.6,7.5,1006.4,905.9,0,14,24.99,0,295.2,0.560975608
194.7,0,100.5,0,0,0,0,165.6,7.5,1006.4,905.9,0,28,25.72,0,295.2,0.560975608
194.7,0,100.5,0,0,0,0,165.6,7.5,1006.4,905.9,0,56,33.96,0,295.2,0.560975608
194.7,0,100.5,0,0,0,0,165.6,7.5,1006.4,905.9,0,100,37.34,0,295.2,0.560975608
190.7,0,125.4,0,0,0,0,162.1,7.8,1090,804,0,3,15.04,0,316.1,0.5128124
190.7,0,125.4,0,0,0,0,162.1,7.8,1090,804,0,14,21.06,0,316.1,0.5128124
190.7,0,125.4,0,0,0,0,162.1,7.8,1090,804,0,28,26.4,0,316.1,0.5128124
190.7,0,125.4,0,0,0,0,162.1,7.8,1090,804,0,56,35.34,0,316.1,0.5128124
190.7,0,125.4,0,0,0,0,162.1,7.8,1090,804,0,100,40.57,0,316.1,0.5128124
212.1,0,121.6,0,0,0,0,180.3,5.7,1057.6,779.3,0,3,12.47,0,333.7,0.540305662
212.1,0,121.6,0,0,0,0,180.3,5.7,1057.6,779.3,0,14,20.92,0,333.7,0.540305662
212.1,0,121.6,0,0,0,0,180.3,5.7,1057.6,779.3,0,28,24.9,0,333.7,0.540305662
212.1,0,121.6,0,0,0,0,180.3,5.7,1057.6,779.3,0,56,34.2,0,333.7,0.540305662
212.1,0,121.6,0,0,0,0,180.3,5.7,1057.6,779.3,0,100,39.61,0,333.7,0.540305662
230,0,118.3,0,0,0,0,195.5,4.6,1029.4,758.6,0,3,10.03,0,348.3,0.56129773
230,0,118.3,0,0,0,0,195.5,4.6,1029.4,758.6,0,14,20.08,0,348.3,0.56129773
230,0,118.3,0,0,0,0,195.5,4.6,1029.4,758.6,0,28,24.48,0,348.3,0.56129773
230,0,118.3,0,0,0,0,195.5,4.6,1029.4,758.6,0,56,31.54,0,348.3,0.56129773
230,0,118.3,0,0,0,0,195.5,4.6,1029.4,758.6,0,100,35.34,0,348.3,0.56129773
190.3,0,125.2,0,0,0,0,161.9,9.9,1088.1,802.6,0,3,9.45,0,315.5,0.513153723
190.3,0,125.2,0,0,0,0,161.9,9.9,1088.1,802.6,0,14,22.72,0,315.5,0.513153723
190.3,0,125.2,0,0,0,0,161.9,9.9,1088.1,802.6,0,28,28.47,0,315.5,0.513153723
190.3,0,125.2,0,0,0,0,161.9,9.9,1088.1,802.6,0,56,38.56,0,315.5,0.513153723
190.3,0,125.2,0,0,0,0,161.9,9.9,1088.1,802.6,0,100,40.39,0,315.5,0.513153723
166.1,0,163.3,0,0,0,0,176.5,4.5,1058.6,780.1,0,3,10.76,0,329.4,0.535822706
166.1,0,163.3,0,0,0,0,176.5,4.5,1058.6,780.1,0,14,25.48,0,329.4,0.535822706
166.1,0,163.3,0,0,0,0,176.5,4.5,1058.6,780.1,0,28,21.54,0,329.4,0.535822706
166.1,0,163.3,0,0,0,0,176.5,4.5,1058.6,780.1,0,56,28.63,0,329.4,0.535822706
166.1,0,163.3,0,0,0,0,176.5,4.5,1058.6,780.1,0,100,33.54,0,329.4,0.535822706
168,42.1,163.8,0,0,0,0,121.8,5.7,1058.7,780.1,0,3,7.75,0,373.9,0.325755549
168,42.1,163.8,0,0,0,0,121.8,5.7,1058.7,780.1,0,14,17.82,0,373.9,0.325755549
168,42.1,163.8,0,0,0,0,121.8,5.7,1058.7,780.1,0,28,24.24,0,373.9,0.325755549
168,42.1,163.8,0,0,0,0,121.8,5.7,1058.7,780.1,0,56,32.85,0,373.9,0.325755549
168,42.1,163.8,0,0,0,0,121.8,5.7,1058.7,780.1,0,100,39.23,0,373.9,0.325755549
213.7,98.1,24.5,0,0,0,0,181.7,6.9,1065.8,785.4,0,3,18,0,336.3,0.540291405
213.7,98.1,24.5,0,0,0,0,181.7,6.9,1065.8,785.4,0,14,30.39,0,336.3,0.540291405
213.7,98.1,24.5,0,0,0,0,181.7,6.9,1065.8,785.4,0,28,45.71,0,336.3,0.540291405
213.7,98.1,24.5,0,0,0,0,181.7,6.9,1065.8,785.4,0,56,50.77,0,336.3,0.540291405
213.7,98.1,24.5,0,0,0,0,181.7,6.9,1065.8,785.4,0,100,53.9,0,336.3,0.540291405
