cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
468.0,0.0,0.0,82.0,0.0,0.0,0.0,197.0,6.05,985.0,550.0,0,28,58.0,0,550.0,0.35818181753057854
509.0,0.0,0.0,41.0,0.0,0.0,0.0,221.0,4.4,989.0,553.0,0,56,48.0,0,550.0,0.4018181810876033
468.0,0.0,0.0,82.0,0.0,0.0,0.0,197.0,6.05,985.0,550.0,0,56,60.0,0,550.0,0.35818181753057854
680.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,2.04,881.0,562.0,0,3,45.0,0,680.0,0.24999999963235295
480.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,1.2,972.0,620.0,0,3,33.69,0,480.0,0.35416666592881946
378.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.756,1023.0,653.0,0,3,20.0,0,378.0,0.44973544854567343
309.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.309,1056.0,674.0,0,3,14.81,0,309.0,0.5501618105172758
262.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1079.0,688.0,0,3,13.0,0,262.0,0.6488549593555154
227.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1095.0,699.0,0,3,9.85,0,227.0,0.7488986751149839
680.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,2.04,881.0,562.0,0,7,50.46,0,680.0,0.24999999963235295
480.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,1.2,972.0,620.0,0,7,38.6,0,480.0,0.35416666592881946
378.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.756,1023.0,653.0,0,7,26.9,0,378.0,0.44973544854567343
309.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.309,1056.0,674.0,0,7,20.0,0,309.0,0.5501618105172758
262.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1079.0,688.0,0,7,16.0,0,262.0,0.6488549593555154
227.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1095.0,699.0,0,7,14.6,0,227.0,0.7488986751149839
680.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,2.04,881.0,562.0,0,28,64.15,0,680.0,0.24999999963235295
480.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,1.2,972.0,620.0,0,28,49.77,0,480.0,0.35416666592881946
378.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.75,1023.0,653.0,0,28,37.1,0,378.0,0.44973544854567343
309.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.3,1056.0,674.0,0,28,28.07,0,309.0,0.5501618105172758
