Number,Delivery batch time [Qualitative],Curing temperature days 2-28 in °C,Curing class days 2-28 [Qualitative],Ingredient moisture in Kg/(15 liter),Sand type I in Kg/(15 liter),Sand type II in Kg/(15 liter),Filler type I in Kg/(15 liter),Filler type II in Kg/(15 liter),Superplasticizer in Kg/(15 liter),Curing temperature day 1 in °C,Curing class day 1 [Qualitative],Ingredient temperature  in °C,Graphite in Kg/(15 liter),Average electrical power consumption (mixing process) in kW,Temperature (fresh state) in °C,Electrical conductivity (fresh state),Air content (fresh state) in %,Slump flow (fresh state) in s,Funnel runtime (fresh state) in s,Compressive strength day 1 in MPa,Compressive strength day 28 in MPa,Flexural strength day 1 in MPa,Flexural strength day 28 in MPa
69,2,10,2,2.925,5.1,12.075,6.6,0.675,0.339,30,2,10,0.225,1.014830769,23.4,1888.333333,1.8,327.5,10,67.70333333,101.1833333,8.626666667,15.14666667
70,2,40,2,2.925,6.3,9.975,6.9,0.638,0.355,20,2,30,0.045,1.387415385,28.2,1886.333333,1.6,325,9,53.27833333,131.38,8.05,20.13333333
71,2,20,2,3.276,6.3,9.975,6,0.75,0.339,20,1,10,0,0.9768,24.1,1881,1.3,350,24.1,58.7,109.1366667,8.33,17.93
72,2,10,2,3.276,6.3,9.975,5.1,0.863,0.339,40,2,30,0.09,0.8972,27.7,1887.666667,1.4,345,6,73.135,86.00833333,7.983333333,14.10666667
73,2,30,2,3.042,5.1,12.075,6.9,0.638,0.306,40,2,20,0.135,1.396553846,28.3,1893.333333,1.6,317.5,8,86.99,114.7516667,9.526666667,19.81666667
74,2,10,2,3.276,6,10.5,6,0.75,0.355,10,2,40,0.225,1.016769231,30.4,1890.333333,1.4,340,6,26.63333333,97.74833333,4.743333333,14.01666667
75,2,10,2,3.159,6.9,8.925,5.1,0.863,0.29,20,2,20,0.09,0.996676923,23.8,1889.666667,1.4,350,6,60.70666667,95.005,8.036666667,13.63333333
76,2,20,2,3.364,6,10.5,6.6,0.675,0.339,20,2,30,0,0.985046154,30.6,1888.333333,1.5,350,5,59.79333333,98.82333333,8.303333333,18.19
77,2,10,2,3.159,6,10.5,5.7,0.788,0.29,20,1,30,0.135,0.995846154,27.4,1890.666667,1.7,345,6,75.70333333,109.98,8.486666667,20.07
78,2,20,1,3.042,6,10.5,5.7,0.788,0.355,10,2,40,0.045,0.951661538,31.5,1893,,305,,28.6,114.275,5.24,15.37333333
79,2,20,2,3.276,6,10.5,5.7,0.788,0.323,10,2,40,0,0.930092308,32.4,1889.666667,1.6,332.5,5,27.05833333,113.7916667,4.786666667,19.31666667
80,2,40,2,2.925,6,10.5,6,0.75,0.323,30,2,20,0,1.219507692,24.7,1882.666667,1.5,340,9,62.85166667,122.6033333,7.853333333,22.37
81,2,30,2,3.276,6.3,9.975,5.7,0.788,0.306,20,1,30,0,0.957107692,28.2,1888.666667,1.4,372.5,5,60.32166667,119.7233333,7.806666667,20.65666667
82,2,30,2,2.925,6,10.5,6,0.75,0.323,20,2,25,0,1.183784615,28.9,1880,1.5,325,8,62.81833333,132.2516667,9.353333333,20.20333333
83,2,30,2,2.925,5.1,12.075,6,0.75,0.323,30,2,20,0,1.210153846,25.9,1895,1.6,332.5,7,57.75,124.8533333,7.116666667,23.49666667
84,2,20,2,2.925,6,10.5,5.7,0.788,0.355,20,2,30,0,1.088984615,28.2,1890.666667,1.6,340,7,61.21166667,120.8333333,7.486666667,20.14333333
85,2,20,2,3.042,5.4,11.55,6,0.75,0.355,20,2,20,0,1.016892308,25.5,1889.666667,1.5,340,7,59.42833333,114.5633333,8.83,19.99333333
86,2,30,2,2.925,6.3,9.975,6,0.75,0.355,20,2,30,0.135,1.1448,32.2,1893.666667,1.7,312.5,9,62.97,114.145,10.08,21.73666667
87,2,20,2,2.925,6.3,9.975,6,0.75,0.323,30,2,20,0.09,1.314030769,26.2,1885.333333,1.6,307.5,10,71.655,105.5566667,8.52,19.39333333
88,2,30,2,3.276,6,10.5,6.6,0.675,0.323,20,2,25,0.135,1.062923077,29.1,1889,1.4,345,6,55.37166667,124.1466667,8.35,20.28
89,2,10,2,3.276,5.4,11.55,6.6,0.675,0.306,20,2,20,0.135,1.165323077,25.6,1890.333333,1.6,350,7,56.655,89.76,6.676666667,13.88
90,2,30,2,2.925,5.4,11.55,6,0.75,0.355,30,2,30,0,1.199015385,28.4,1885.666667,1.6,320,6,70.245,126.3416667,9.29,21.30333333
91,2,20,2,3.276,6,10.5,6,0.75,0.323,10,2,25,0,1.035076923,28.2,1882,1.4,350,7,43.01,116.688,6.06,19.22333333
92,2,10,2,2.925,6.3,9.975,6,0.75,0.355,30,2,20,0.135,1.196153846,26.7,,1.6,342.5,7,63.43833333,98.53666667,8.7,15.09
93,2,20,2,3.159,6.3,9.975,6,0.75,0.306,30,2,20,0.135,1.111476923,29.3,1887.333333,1.5,335,7,60.75333333,110.5716667,8.176666667,19.40666667
94,2,30,2,2.925,6,10.5,6.6,0.675,0.323,20,2,30,0.09,1.196123077,31.8,1891.333333,1.7,320,9,61.54333333,123.7283333,8.396666667,22.84333333
95,2,20,2,3.159,5.4,11.55,6,0.75,0.306,30,2,25,0.135,1.0864,29.9,1892,1.6,337.5,6,65.19833333,107.9566667,8.596666667,18.89666667
96,2,20,2,3.159,5.4,11.55,5.7,0.788,0.306,20,2,30,0.09,1.002523077,28.6,1889,1.3,352.5,5,58.03,109.2166667,7.946666667,19.89333333
97,2,30,2,3.159,5.4,11.55,6.6,0.675,0.306,10,2,20,0.09,1.055938462,27.6,1890,1.5,345,5,53.46666667,124.9666667,4.94,23.10666667
98,2,20,2,3.159,5.4,11.55,6.6,0.675,0.306,10,2,25,0.09,1.182369231,29.2,1893.666667,1.6,337.5,8,45.3,103.805,6.386666667,19.46333333
99,2,40,2,3.364,5.4,11.55,5.7,0.788,0.29,10,2,25,0,1.022123077,24.4,1888.333333,1.4,357.5,7,30.81,110.5933333,4.36,20.38
100,2,10,2,3.159,5.4,11.55,6.6,0.675,0.306,10,2,25,0.09,1.156676923,29.3,1886.666667,1.5,347.5,7,46.32333333,97.7875,6.013333333,13.09333333
101,2,10,2,3.042,5.1,12.075,5.7,0.788,0.339,20,1,10,0.135,1.097538462,24.2,1889.666667,1.5,332.5,6,65.94666667,85.70166667,9.6,14.31666667
102,2,20,1,3.364,6,10.5,6.9,0.638,0.339,20,1,40,0.045,1.072338462,33.3,1889.333333,1.4,342.5,7,54.385,115.5533333,7.9,13.97333333
103,2,30,2,3.364,6.9,8.925,5.7,0.788,0.29,30,2,10,0,0.909538462,24.3,1888,1.4,370,4,59.21666667,108.645,7.423333333,17.27666667
104,2,10,2,3.042,6.9,8.925,5.7,0.788,0.306,30,2,40,0.045,1.085446154,31.2,1888.666667,1.4,327.5,8,62.08166667,92.59166667,8.52,13.56666667
105,2,30,2,3.042,5.1,12.075,5.1,0.863,0.323,20,2,10,0.225,1.062861538,25.5,1890.333333,1.4,340,6,63.105,109.1033333,9.09,19.62333333
106,2,10,2,2.925,6.9,8.925,5.1,0.863,0.339,40,2,10,0.135,1.166769231,22.1,1890,1.6,325,9,78.85666667,94.56166667,9.226666667,15.73
107,2,20,1,3.042,6,10.5,5.1,0.863,0.323,10,2,25,0.225,1.213876923,25.6,1890,1.5,327.5,9,29.51833333,107.8733333,4.386666667,8.963333333
108,2,30,2,3.364,6,10.5,6,0.75,0.355,20,2,20,0.225,0.984984615,24.9,1875.333333,1.4,350,6,46.59333333,113.3833333,6.816666667,18.08333333
109,2,30,2,3.276,6.9,8.925,5.7,0.788,0.323,20,1,20,0.225,1.049046154,24.9,1888.333333,1.6,355,6,51.32166667,111.1233333,7.34,17.50333333
